Proposta;Número da Requisição;Aplicação;Classe do Material;Código do produto;Descrição Curta do Produto;Descrição Adicional;Quantidade requisitada;Data necessária;Código do Produto do Fornecedor;Produto;Descrição Técnica;Quantidade do fornecedor;Fornecedor;Fabricante;Modelo;Razão social;CNPJ;Status de cadastro;Endereço;Nome do contato comercial;Telefones do contato comercial;E-mail do contato comercial;Dados bancários;Nome contato de faturamento;Telefones do contato de faturamento;E-mail do contato de faturamento;Data de entrega;Prazo de pagamento;Valor Orçado Unitário (R$);Preço unitário líquido (R$);Preço unitário com impostos (R$);Condição de pagamento;1a Rodada de Negociação;Motivo da analise;Aprovada por Humano
P7;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Empresa G Soluções Ltda;73.678.901/0001-12;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;60 dias;150,00;104.76;109.12;reajustável;Valido;Está dentro da meta de saving;Sim
P8;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória DDR4 8GB 3200MHz;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;NotebookParts;ADATA;ASU650SS-240GT-R;Empresa H Soluções Ltda;64.789.012/0001-99;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato H;(11) 3456-7890 / (11) 98765-4321;contatoh@empresah.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa H Soluções Ltda;Faturamento H;(11) 3344-5566 / (11) 99887-6655;faturamentoh@empresah.com.br;18/08/2025;53 dias;150,00;110;105;reajustável;Valido;Está dentro da meta de saving;Sim
P9;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM DDR4 8GB;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;RAMTech;ADATA;ASU650SS-240GT-R;Empresa I Soluções Ltda;85.890.123/0001-66;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato I;(11) 3456-7890 / (11) 98765-4321;contatoi@empresai.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa I Soluções Ltda;Faturamento I;(11) 3344-5566 / (11) 99887-6655;faturamentoi@empresai.com.br;22/07/2025;64 dias;150,00;100;110;reajustável;Valido;Está dentro da meta de saving;Sim
P10;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória DDR4 8GB 3200MHz;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;EletroRAM;ADATA;ASU650SS-240GT-R;Empresa J Soluções Ltda;32.717.121/0001-79;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato A;(11) 3456-7890 / (11) 98765-4321;contatoa@empresaa.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: AlphaTech Soluções Industriais Ltda;Faturamento B;(11) 3344-5566 / (11) 99887-6655;faturamentoa@empresaa.com.br;10/08/2025;52 dias;150,00;90;100;reajustável;Valido;Esse é o valor referencia;Sim
P11;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45890;649192;Memória DDR4 8GB 3200MHz;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;Memorix Brasil;ADATA;ASU650SS-240GT-R;Empresa E Soluções Ltda;32.717.121/0001-80;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-001;Contato A;(11) 3456-7890 / (11) 98765-4322;contatoa@empresaa.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: AlphaTech Soluções Industriais Ltda;Faturamento C;(11) 3344-5566 / (11) 99887-6656;faturamentoa@empresaa.com.br;10/08/2026;53 dias;150;100.28;104.46;reajustável;Valido;Está dentro da meta de saving;Sim
P12;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45891;649192;Memória DDR4 8GB 3200MHz;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;DigitalRAM;ADATA;ASU650SS-240GT-R;Empresa B Soluções Ltda;32.717.121/0001-81;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-002;Contato A;(11) 3456-7890 / (11) 98765-4323;contatoa@empresaa.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: AlphaTech Soluções Industriais Ltda;Faturamento D;(11) 3344-5566 / (11) 99887-6657;faturamentoa@empresaa.com.br;10/08/2027;54 dias;150;104.76;109.12;reajustável;Valido;Está dentro da meta de saving;Sim
P13;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45892;649192;Memória DDR4 8GB 3200MHz;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;RAMStore;ADATA;ASU650SS-240GT-R;Empresa A Soluções Ltda;32.717.121/0001-82;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-003;Contato A;(11) 3456-7890 / (11) 98765-4324;contatoa@empresaa.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: AlphaTech Soluções Industriais Ltda;Faturamento F;(11) 3344-5566 / (11) 99887-6658;faturamentoa@empresaa.com.br;10/08/2028;55 dias;150;90;109;reajustável;Valido;Está dentro da meta de saving;Sim
P11;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Guerra;36.890.714/0001-60;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;54 dias;150;108.2;108.2;reajustável;Valido;Está dentro da meta de saving;Sim
P12;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Mendes Silveira S/A;31.780.492/0001-09;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;54 dias;150;103.65;103.65;reajustável;Valido;Está dentro da meta de saving;Sim
P14;RC-2025-21;Atender contrato de prestação de serviços com cliente;INFORMATICA (EQUIPAMENTOS);649192;MEMORIA RAM PARA NOTEBOOKS/DESKTOPS;MEMORIA RAM, TIPO: RAM, MODULO: DDR4 SD RAM, VELOCIDADE: 3200 MHZ, CAPACIDADE: 8 GB, APLICACAO:  NOTEBOOKS/DESKTOPS.;2;45889;649192;Memória RAM 8GB DDR4;"capacidade: 8GB; geracao: DDR4; classificacao: 1Rx16; tipo_memoria: NÃO-ECC; frequencia: 3200MHz; latencia: 22; voltagem: 1.2V; pinagem: 260 pinos";2;CompuRAM;ADATA;ASU650SS-240GT-R;Rocha;01.462.975/0001-02;Ativo;Av. das Indústrias, 1234 – Distrito Industrial – São Paulo/SP – CEP 04567-000;Contato G;(11) 3456-7890 / (11) 98765-4321;contatog@empresag.com.br;Banco Bradesco – Ag. 1234 – C/C 98765-4 – Titular: Empresa G Soluções Ltda;Faturamento G;(11) 3344-5566 / (11) 99887-6655;faturamentog@empresag.com.br;28/07/2025;63 dias;150;104.18;104.18;reajustável;Valido;Está dentro da meta de saving;Sim
